,Date,Close
785,2017-03-26,966.72
786,2017-03-25,972.78
787,2017-03-24,937.52
788,2017-03-23,1038.59
789,2017-03-22,1049.14
790,2017-03-21,1120.54
791,2017-03-20,1054.23
792,2017-03-19,1036.74
793,2017-03-18,973.82
794,2017-03-17,1100.23
795,2017-03-16,1187.81
796,2017-03-15,1249.61
797,2017-03-14,1240.0
798,2017-03-13,1231.92
799,2017-03-12,1221.38
800,2017-03-11,1175.83
801,2017-03-10,1116.72
802,2017-03-09,1188.49
803,2017-03-08,1150.0
804,2017-03-07,1223.54
805,2017-03-06,1272.83
806,2017-03-05,1267.12
807,2017-03-04,1255.15
808,2017-03-03,1274.99
809,2017-03-02,1251.01
810,2017-03-01,1222.5
811,2017-02-28,1179.97
812,2017-02-27,1179.97
813,2017-02-26,1165.2
814,2017-02-25,1143.84
815,2017-02-24,1173.68
816,2017-02-23,1166.72
817,2017-02-22,1117.44
818,2017-02-21,1115.3
819,2017-02-20,1079.98
820,2017-02-19,1047.87
821,2017-02-18,1054.42
822,2017-02-17,1046.21
823,2017-02-16,1027.44
824,2017-02-15,1007.48
825,2017-02-14,1004.55
826,2017-02-13,990.64
827,2017-02-12,999.18
828,2017-02-11,1004.45
829,2017-02-10,988.67
830,2017-02-09,994.38
831,2017-02-08,1063.07
832,2017-02-07,1061.35
833,2017-02-06,1038.15
834,2017-02-05,1027.34
835,2017-02-04,1042.9
836,2017-02-03,1029.91
837,2017-02-02,1011.8
838,2017-02-01,989.02
839,2017-01-31,970.4
840,2017-01-30,920.38
841,2017-01-29,919.5
842,2017-01-28,921.59
843,2017-01-27,919.75
844,2017-01-26,917.59
845,2017-01-25,901.54
846,2017-01-24,892.69
847,2017-01-23,921.01
848,2017-01-22,924.67
849,2017-01-21,921.79
850,2017-01-20,895.03
851,2017-01-19,899.07
852,2017-01-18,886.62
853,2017-01-17,907.94
854,2017-01-16,831.53
855,2017-01-15,821.8
856,2017-01-14,818.41
857,2017-01-13,823.98
858,2017-01-12,804.83
859,2017-01-11,777.76
860,2017-01-10,907.68
861,2017-01-09,902.83
862,2017-01-08,911.2
863,2017-01-07,908.59
864,2017-01-06,902.2
865,2017-01-05,1013.38
866,2017-01-04,1154.73
867,2017-01-03,1043.84
868,2017-01-02,1021.75
869,2017-01-01,998.33
870,2016-12-31,963.74
871,2016-12-30,961.24
872,2016-12-29,973.5
873,2016-12-28,975.92
874,2016-12-27,933.2
875,2016-12-26,907.61
876,2016-12-25,896.18
877,2016-12-24,898.82
878,2016-12-23,921.98
879,2016-12-22,864.54
880,2016-12-21,834.28
881,2016-12-20,800.88
882,2016-12-19,792.71
883,2016-12-18,790.53
884,2016-12-17,790.83
885,2016-12-16,784.91
886,2016-12-15,778.09
887,2016-12-14,781.48
888,2016-12-13,780.56
889,2016-12-12,780.09
890,2016-12-11,769.73
891,2016-12-10,774.65
892,2016-12-09,772.79
893,2016-12-08,770.81
894,2016-12-07,768.13
895,2016-12-06,764.22
896,2016-12-05,758.7
897,2016-12-04,773.87
898,2016-12-03,771.16
899,2016-12-02,777.94
900,2016-12-01,756.77
901,2016-11-30,745.69
902,2016-11-29,735.6
903,2016-11-28,735.81
904,2016-11-27,732.03
905,2016-11-26,735.38
906,2016-11-25,741.65
907,2016-11-24,740.29
908,2016-11-23,744.59
909,2016-11-22,751.35
910,2016-11-21,739.25
911,2016-11-20,731.03
912,2016-11-19,751.62
913,2016-11-18,751.59
914,2016-11-17,740.98
915,2016-11-16,744.2
916,2016-11-15,711.62
917,2016-11-14,705.02
918,2016-11-13,702.03
919,2016-11-12,705.05
920,2016-11-11,716.41
921,2016-11-10,715.53
922,2016-11-09,723.27
923,2016-11-08,709.85
924,2016-11-07,703.13
925,2016-11-06,711.52
926,2016-11-05,703.42
927,2016-11-04,703.23
928,2016-11-03,688.7
929,2016-11-02,740.83
930,2016-11-01,729.79
931,2016-10-31,700.97
932,2016-10-30,701.86
933,2016-10-29,714.48
934,2016-10-28,689.65
935,2016-10-27,688.31
936,2016-10-26,678.3
937,2016-10-25,657.59
938,2016-10-24,653.76
939,2016-10-23,657.07
940,2016-10-22,657.29
941,2016-10-21,632.83
942,2016-10-20,630.86
943,2016-10-19,630.52
944,2016-10-18,637.96
945,2016-10-17,639.19
946,2016-10-16,641.63
947,2016-10-15,638.65
948,2016-10-14,640.38
949,2016-10-13,636.79
950,2016-10-12,636.19
951,2016-10-11,641.07
952,2016-10-10,618.99
953,2016-10-09,616.75
954,2016-10-08,619.11
955,2016-10-07,617.12
956,2016-10-06,613.02
957,2016-10-05,612.51
958,2016-10-04,610.2
959,2016-10-03,612.13
960,2016-10-02,610.89
961,2016-10-01,613.98
962,2016-09-30,609.73
963,2016-09-29,605.69
964,2016-09-28,604.73
965,2016-09-27,606.17
966,2016-09-26,608.04
967,2016-09-25,600.83
968,2016-09-24,602.63
969,2016-09-23,602.84
970,2016-09-22,596.3
971,2016-09-21,597.15
972,2016-09-20,608.31
973,2016-09-19,609.23
974,2016-09-18,609.87
975,2016-09-17,605.98
976,2016-09-16,606.97
977,2016-09-15,607.16
978,2016-09-14,610.68
979,2016-09-13,609.24
980,2016-09-12,608.24
981,2016-09-11,606.72
982,2016-09-10,623.51
983,2016-09-09,622.86
984,2016-09-08,626.32
985,2016-09-07,614.54
986,2016-09-06,610.44
987,2016-09-05,606.59
988,2016-09-04,608.63
989,2016-09-03,598.21
990,2016-09-02,575.54
991,2016-09-01,572.3
992,2016-08-31,575.47
993,2016-08-30,577.5
994,2016-08-29,574.11
995,2016-08-28,573.91
996,2016-08-27,569.95
997,2016-08-26,579.65
